Adrdress,Name of Location,Zipcode,y,x,car type,TRACT_NAME
3090 Tejon st.,Denver Highlands,80211,36.7608,-105.011371,2018 silver suburu,Census Tract 11.02
20th St. & Chestnut Pl,20th st and Chesnut Place,80202,39.75776,-104.99855,2020 white nissan leaf,Census Tract 17.05
2669 Larimer St.,Larimer & 27th ,80205,39.7634,-104.98466,2018 Blue Toyota Rav4 Hybrid,Census Tract 16.03
"Chestnut Pl & 17th St, ",17th st. and Chesnut place,80202,39.75476,-105.0024,2014 Blue Toyota Prius,Census Tract 17.05
Wynkoop St.& 16th st Mall,Denver Union Station,80202,39.75202,-105.00093,2021 Grey Nissan Frontier Crew Cab,Census Tract 17.04
1536 Wynkoop St. ,Colorado Allicance for environment,80202,39.75147,-105.00136,2020 white nissan leaf,Census Tract 17.04
1601 Blake St. ,Blake st and 16th st mall,80202,39.7511,-104.99922,2012 red Honda fit,Census Tract 17.04
Market St. & 16th St. Mall,Market st and 16th mall,80202,39.750001,-104.99828,2022 White toyota Corolla Hybrid,Census Tract 17.04
18th st. and Lawrence ,18th and Lawrence st. ,80202,39.75061,-104.99412,2019 Glass Sea Pearl Toyota Prius Hybrid,Census Tract 17.04
2855 Tremont Pl.,DMV Main Office - 28th & Trem,80205,39.75546,-104.97441,2021 White Chevy Bolt,Census Tract 24.04
1631 California St. ,California St. & 17th St.,80202,39.74586,-104.99157,2020 Electric Storm Blue Toyota Prius,Census Tract 17.06
415 S Cherokee St,Denizen Apartments (Alameda Station) #2,80223,39.7088,-104.99261,2020 White Toyota Tacoma Pickup Truck,Census Tract 21.02
415 S Cherokee St,Denizen Apartments (Alameda Station) #2,80223,39.70876477,-104.9926362,2022 Blue Toyota Corolla Hybrid,Census Tract 21.02
395 S Cherokee St,S. Cherokee & W. Dakota Ave (on,80223,39.70969839,-104.992588,2014 Red Toyota Prius C ,Census Tract 21.02
E Mississippi Ave & S Sherman St,East Mississippi Avenue & Sout,80209,39.69693527,-104.9851247,2018 Red Toyota Prius,Census Tract 29.01
1111 Race St.,11th Avenue (between Race an,80203,39.73305677,-104.8893631,2017 Red Chevy Sonic,Census Tract 32.02
900 E 11th Ave,11th & Emerson #1,80218,39.73352582,-104.9758983,2021 Midnight Black Metallic Toyota Prius Prime XLE,Census Tract 27.09
1080 Logan St,E. 11th Avenue & Logan Street #,80203,39.73371787,-104.9818101, 2014 Red Toyota Prius C,Census Tract 27.05
Ogden St & E 9th Ave,N. Ogden Street & E. 9th Avenu, 80218,39.73058827,-104.9753011,2020 White Toyota Tacoma Pickup Truck,Census Tract 27.07
975 Osage St,Osage RTD Station / 10th Ave., 80204,39.73239648,-105.0055988, 2021 White Nissan Leaf,Census Tract 19.01
975 Osage St,Osage RTD Station / 10th Ave., 80204,39.73239648,-105.0055988, 2021 White Nissan Leaf,Census Tract 19.01
900 E 11th Ave,11th & Emerson #2,80218,39.73350107,-104.9758446,2013 White Chevy Sonic ,Census Tract 27.09
Glenarm St & 17th St,Glenarm Place and 16th st mall,80202,39.74503674,-104.9889562,2014 Blue Toyota Prius V Wagon,Census Tract 17.06
1600 Glenarm pl,Glenarm Place and 16th st mall,80202,39.74928984,-104.9890186,2014 Blue Toyota Prius V Wagon Blue Toyota Prius (5-seat hybrid),Census Tract 17.06
400 E 19th Ave,19th Ave. & Logan St. #2,80203,39.75425337,-104.9819525,2022 White Subaru Crosstrek,Census Tract 26.03
Pennsylvania St & E 17th Ave,Pennsylvania St. & East 17th Av,80203,39.74347939,-104.9810911, 2013 Red Toyota Prius C ,Census Tract 26.03
330 24th St,Benedict Park Place,80205,39.75022182,-104.9794008,2020 Blue Nissan Leaf ,Census Tract 24.05
1600 N Downing St,Downing St. & 16th Ave., 80218,39.74893689371786-,-104.9711865,2019 Red Chevy Bolt,Census Tract 31.02
